                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,metrics/accuracy_train_top1,                   lr/0
                     77,                0.78747,                 1.1175,                0.94577,                0.98632,                      1,              0.0002278
                     78,                0.78692,                 1.1138,                0.94431,                0.98437,                      1,              0.0002179
                     79,                0.78701,                 1.1078,                0.93991,                0.98486,                      1,               0.000208
                     80,                0.78654,                 1.1104,                0.94626,                0.98632,                      1,              0.0001981
                     81,                0.78611,                 1.1119,                0.94529,                0.98632,                      1,              0.0001882
                     82,                0.78594,                 1.1194,                0.94382,                0.98632,                      1,              0.0001783
                     83,                0.78557,                 1.1106,                0.94382,                0.98632,                      1,              0.0001684
                     84,                0.78508,                 1.1105,                0.94626,                0.98534,                      1,              0.0001585
                     85,                0.78495,                 1.1153,                0.94626,                0.98437,                      1,              0.0001486
                     86,                0.78473,                 1.1179,                0.94675,                0.98486,                      1,              0.0001387
                     87,                0.78466,                 1.1169,                0.94871,                0.98486,                      1,              0.0001288
                     88,                0.78471,                 1.1133,                0.94773,                0.98632,                      1,              0.0001189
                     89,                0.78416,                 1.1202,                0.94577,                0.98583,                      1,               0.000109
                     90,                0.78409,                 1.1167,                0.94675,                0.98486,                      1,               9.91e-05
                     91,                0.78421,                 1.1205,                0.94675,                0.98437,                      1,               8.92e-05
                     92,                 0.7839,                 1.1172,                0.94675,                0.98486,                      1,               7.93e-05
                     93,                0.78329,                 1.1178,                0.94626,                0.98437,                      1,               6.94e-05
                     94,                0.78342,                 1.1182,                0.94431,                0.98437,                      1,               5.95e-05
                     95,                0.78326,                 1.1169,                0.94382,                0.98534,                      1,               4.96e-05
                     96,                0.78322,                 1.1171,                0.94333,                0.98534,                      1,               3.97e-05
                     97,                0.78298,                 1.1174,                0.94431,                0.98632,                      1,               2.98e-05
                     98,                0.78288,                 1.1165,                0.94529,                0.98534,                      1,               1.99e-05
                     99,                0.78268,                 1.1159,                0.94577,                0.98534,                      1,                  1e-05
